Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 72.0.3626.121,To test e-Cancer functionalities,,2019-04-25 16:35:47,2019-04-25 16:35:58,10.670s,FAILED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 72.0.3626.121,To open the browser and naviage to the specific URL,,2019-04-25 16:35:48,2019-04-25 16:35:55,7.284s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 72.0.3626.121,,,2019-04-25 16:35:48,2019-04-25 16:35:48,0.045s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 72.0.3626.121,,,2019-04-25 16:35:48,2019-04-25 16:35:48,0.013s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 72.0.3626.121,,,2019-04-25 16:35:48,2019-04-25 16:35:48,0.042s,PASSED
"System.setProperty(""webdriver.chrome.driver"", ""D:/Installer/Katalon Studio 6.1.2/chromedriver.exe"")",Chrome 72.0.3626.121,,,2019-04-25 16:35:48,2019-04-25 16:35:48,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 72.0.3626.121,,,2019-04-25 16:35:48,2019-04-25 16:35:52,3.832s,PASSED
changeWebDriver(driver),Chrome 72.0.3626.121,,,2019-04-25 16:35:52,2019-04-25 16:35:52,0.086s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,,2019-04-25 16:35:52,2019-04-25 16:35:53,0.551s,PASSED
"navigateToUrl(""https://uat.etiqa.com.my:4442/cancer-care/en/insurance/qq1"")",Chrome 72.0.3626.121,,,2019-04-25 16:35:53,2019-04-25 16:35:55,2.011s,PASSED
,,,,,,,
Test Cases/10_Underwriting Question - Question,Chrome 72.0.3626.121,,,2019-04-25 16:35:55,2019-04-25 16:35:57,1.696s,FAILED
for (def index : (0..1)),Chrome 72.0.3626.121,,,2019-04-25 16:35:55,2019-04-25 16:35:57,1.418s,FAILED
