Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 72.0.3626.121,To test e-Cancer functionalities,,2019-04-25 16:41:24,2019-04-25 16:41:46,21.337s,PASSED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 72.0.3626.121,To open the browser and naviage to the specific URL,,2019-04-25 16:41:25,2019-04-25 16:41:33,7.885s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 72.0.3626.121,,,2019-04-25 16:41:25,2019-04-25 16:41:25,0.047s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 72.0.3626.121,,,2019-04-25 16:41:25,2019-04-25 16:41:25,0.007s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 72.0.3626.121,,,2019-04-25 16:41:25,2019-04-25 16:41:25,0.042s,PASSED
"System.setProperty(""webdriver.chrome.driver"", ""D:/Installer/Katalon Studio 6.1.2/chromedriver.exe"")",Chrome 72.0.3626.121,,,2019-04-25 16:41:25,2019-04-25 16:41:25,0.006s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 72.0.3626.121,,,2019-04-25 16:41:25,2019-04-25 16:41:29,3.886s,PASSED
changeWebDriver(driver),Chrome 72.0.3626.121,,,2019-04-25 16:41:29,2019-04-25 16:41:29,0.091s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,,2019-04-25 16:41:29,2019-04-25 16:41:30,0.437s,PASSED
"navigateToUrl(""https://uat.etiqa.com.my:4442/cancer-care/en/insurance/qq1"")",Chrome 72.0.3626.121,,,2019-04-25 16:41:30,2019-04-25 16:41:33,2.683s,PASSED
,,,,,,,
Test Cases/10_Underwriting Question - Question,Chrome 72.0.3626.121,,,2019-04-25 16:41:33,2019-04-25 16:41:44,11.863s,PASSED
for (def index : (0..1)),Chrome 72.0.3626.121,,,2019-04-25 16:41:33,2019-04-25 16:41:44,11.538s,PASSED
