Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 72.0.3626.121,To test e-Cancer functionalities,,2019-04-25 16:40:42,2019-04-25 16:41:03,20.884s,PASSED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 72.0.3626.121,To open the browser and naviage to the specific URL,,2019-04-25 16:40:42,2019-04-25 16:40:49,7.111s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 72.0.3626.121,,,2019-04-25 16:40:43,2019-04-25 16:40:43,0.044s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 72.0.3626.121,,,2019-04-25 16:40:43,2019-04-25 16:40:43,0.008s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 72.0.3626.121,,,2019-04-25 16:40:43,2019-04-25 16:40:43,0.033s,PASSED
"System.setProperty(""webdriver.chrome.driver"", ""D:/Installer/Katalon Studio 6.1.2/chromedriver.exe"")",Chrome 72.0.3626.121,,,2019-04-25 16:40:43,2019-04-25 16:40:43,0.003s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 72.0.3626.121,,,2019-04-25 16:40:43,2019-04-25 16:40:47,3.668s,PASSED
changeWebDriver(driver),Chrome 72.0.3626.121,,,2019-04-25 16:40:47,2019-04-25 16:40:47,0.054s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,,2019-04-25 16:40:47,2019-04-25 16:40:47,0.438s,PASSED
"navigateToUrl(""https://uat.etiqa.com.my:4442/cancer-care/en/insurance/qq1"")",Chrome 72.0.3626.121,,,2019-04-25 16:40:47,2019-04-25 16:40:49,2.136s,PASSED
,,,,,,,
Test Cases/10_Underwriting Question - Question,Chrome 72.0.3626.121,,,2019-04-25 16:40:49,2019-04-25 16:41:01,11.955s,PASSED
for (def index : (0..1)),Chrome 72.0.3626.121,,,2019-04-25 16:40:50,2019-04-25 16:41:01,11.544s,PASSED
