Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 72.0.3626.121,To test e-Cancer functionalities,,2019-04-25 16:32:42,2019-04-25 16:32:53,10.875s,FAILED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 72.0.3626.121,To open the browser and naviage to the specific URL,,2019-04-25 16:32:42,2019-04-25 16:32:49,7.189s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 72.0.3626.121,,,2019-04-25 16:32:43,2019-04-25 16:32:43,0.055s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 72.0.3626.121,,,2019-04-25 16:32:43,2019-04-25 16:32:43,0.009s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 72.0.3626.121,,,2019-04-25 16:32:43,2019-04-25 16:32:43,0.039s,PASSED
"System.setProperty(""webdriver.chrome.driver"", ""D:/Installer/Katalon Studio 6.1.2/chromedriver.exe"")",Chrome 72.0.3626.121,,,2019-04-25 16:32:43,2019-04-25 16:32:43,0.002s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 72.0.3626.121,,,2019-04-25 16:32:43,2019-04-25 16:32:47,3.699s,PASSED
changeWebDriver(driver),Chrome 72.0.3626.121,,,2019-04-25 16:32:47,2019-04-25 16:32:47,0.078s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,,2019-04-25 16:32:47,2019-04-25 16:32:47,0.527s,PASSED
"navigateToUrl(""https://uat.etiqa.com.my:4442/cancer-care/en/insurance/qq1"")",Chrome 72.0.3626.121,,,2019-04-25 16:32:47,2019-04-25 16:32:49,1.828s,PASSED
,,,,,,,
Test Cases/10_Underwriting Question - Question,Chrome 72.0.3626.121,,,2019-04-25 16:32:49,2019-04-25 16:32:51,1.859s,FAILED
for (def index : (0..1)),Chrome 72.0.3626.121,,,2019-04-25 16:32:50,2019-04-25 16:32:51,1.393s,FAILED
